model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_CV2,correct_CV2,total_CV2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,textfrct_CV2,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_textfrct_CV2_Hidden_Words_detailed.jsonl,40.0,0.0,0,40,,,,,,,
EleutherAI/pythia-6.9b,step11000,textfrct_CV2,True,,True,results/pythia_6.9b/pythia-6.9b_step11000/EleutherAI_pythia-6.9b_step11000_textfrct_CV2_Hidden_Words_detailed.jsonl,40.0,0.0,0,40,,,,,,,
EleutherAI/pythia-6.9b,step22000,textfrct_CV2,True,,True,results/pythia_6.9b/pythia-6.9b_step22000/EleutherAI_pythia-6.9b_step22000_textfrct_CV2_Hidden_Words_detailed.jsonl,40.0,0.0,0,40,,,,,,,
EleutherAI/pythia-6.9b,step33000,textfrct_CV2,True,,False,,,0.0,0,40,0.0,0.0,40.0,5.393994140625,12792.541916776241,1.998728974692239e-06,0.010340729984021222
EleutherAI/pythia-6.9b,step44000,textfrct_CV2,True,,False,,,0.0,0,40,0.0,0.0,40.0,5.46982421875,10501.535397383925,1.9280680862612875e-06,0.01017107100737247
EleutherAI/pythia-6.9b,step55000,textfrct_CV2,True,,False,,,0.0,0,40,0.0,0.0,40.0,5.111767578125,9858.6607946382,4.742742846558152e-06,0.013630988314515752
EleutherAI/pythia-6.9b,step66000,textfrct_CV2,True,,False,,,0.0,0,40,0.0,0.0,40.0,5.154541015625,21860.019853210608,1.6646170453225159e-06,0.014450981112971318
EleutherAI/pythia-6.9b,step77000,textfrct_CV2,True,,False,,,0.0,0,40,0.0,0.0,40.0,5.01513671875,13682.769483516415,2.6132746844827763e-06,0.016561242244512917
EleutherAI/pythia-6.9b,step88000,textfrct_CV2,True,,False,,,0.0,0,40,0.0,0.0,40.0,4.939501953125,21168.560456095198,7.563020484997641e-06,0.015898104915828406
EleutherAI/pythia-6.9b,step99000,textfrct_CV2,True,,False,,,0.0,0,40,0.0,0.0,40.0,4.85,18049.12293022857,5.151402317798367e-06,0.018663799043687413
EleutherAI/pythia-6.9b,step110000,textfrct_CV2,True,,False,,,0.0,0,40,0.0,0.0,40.0,4.81171875,21146.806558702745,6.275552125305594e-06,0.019538026084165168
EleutherAI/pythia-6.9b,step121000,textfrct_CV2,True,,False,,,0.0,0,40,0.0,0.0,40.0,4.780322265625,23065.499967490636,5.870314815449227e-06,0.020315854250606523
EleutherAI/pythia-6.9b,step132000,textfrct_CV2,True,,False,,,0.0,0,40,0.0,0.0,40.0,4.841259765625,31330.739129419624,3.5715975428266385e-06,0.02012914605381621
EleutherAI/pythia-6.9b,step143000,textfrct_CV2,True,,False,,,0.0,0,40,0.0,0.0,40.0,4.75283203125,29147.399532909523,6.778460020873469e-06,0.02053786481395843
