model,checkpoint,compositional_plural_upper_reverse
EleutherAI/pythia-6.9b,step0,12.127935606060607
EleutherAI/pythia-6.9b,step11000,7.534256628787879
EleutherAI/pythia-6.9b,step110000,6.822277462121212
EleutherAI/pythia-6.9b,step121000,6.985961174242425
EleutherAI/pythia-6.9b,step132000,6.821283143939394
EleutherAI/pythia-6.9b,step143000,6.682445549242424
EleutherAI/pythia-6.9b,step22000,7.45842803030303
EleutherAI/pythia-6.9b,step33000,6.989985795454546
EleutherAI/pythia-6.9b,step44000,7.014038825757575
EleutherAI/pythia-6.9b,step55000,6.865577651515151
EleutherAI/pythia-6.9b,step66000,6.829332386363636
EleutherAI/pythia-6.9b,step77000,6.795857007575758
EleutherAI/pythia-6.9b,step88000,6.794093276515151
EleutherAI/pythia-6.9b,step99000,6.756901041666667
