model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_CV1,correct_CV1,total_CV1,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,11.18203125,120405.8438451878,1.4752293465420361e-05,2.3297455167306577e-05
EleutherAI/pythia-6.9b,step11000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,11.3575,1856648.4924002627,2.060952035783155e-06,0.00025448136483961515
EleutherAI/pythia-6.9b,step22000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,11.144765625,853904.6478729503,3.1987018927882155e-06,0.00024206597087975503
EleutherAI/pythia-6.9b,step33000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,10.41671875,272849.54547047464,8.934910667186948e-06,0.000331352865267048
EleutherAI/pythia-6.9b,step44000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,10.09359375,154302.97820004585,9.11638726078708e-06,0.0003601297255066963
EleutherAI/pythia-6.9b,step55000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,9.386328125,59652.85109850999,2.3743240455365447e-05,0.0005523396581144907
EleutherAI/pythia-6.9b,step66000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,9.6903125,122329.07314229816,1.757224550573653e-05,0.00039925355355776334
EleutherAI/pythia-6.9b,step77000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,10.0384375,175172.46226594454,1.7961832348572637e-05,0.00032541928745664965
EleutherAI/pythia-6.9b,step88000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,9.678046875,99710.549938254,1.8231363802066525e-05,0.0004217361894727994
EleutherAI/pythia-6.9b,step99000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,9.8221875,174627.85976925906,2.252441113028006e-05,0.00035748219945606674
EleutherAI/pythia-6.9b,step110000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,9.93,244855.38755145966,2.025978933290784e-05,0.0003518358581775461
EleutherAI/pythia-6.9b,step121000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,9.9265625,186915.35528001963,2.051976164875801e-05,0.0003450919382528794
EleutherAI/pythia-6.9b,step132000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,9.93578125,202208.813958775,1.81251548554441e-05,0.0003584761946433427
EleutherAI/pythia-6.9b,step143000,textfrct_CV1,True,,False,0.0,0,50,0.0,0,50,9.78890625,188246.41456229024,2.4312366551076107e-05,0.00039810301736212126
