model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,ignoring_context,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_ignoring_context_detailed.jsonl,1.0,0.0,0,1,,,,
EleutherAI/pythia-6.9b,step11000,ignoring_context,True,,True,results/pythia_6.9b/pythia-6.9b_step11000/EleutherAI_pythia-6.9b_step11000_ignoring_context_detailed.jsonl,1.0,1.0,1,1,,,,
EleutherAI/pythia-6.9b,step22000,ignoring_context,True,,False,,,1.0,1,1,9.1640625,9547.766196606772,0.00010473654040202565,0.00010473654040202565
EleutherAI/pythia-6.9b,step33000,ignoring_context,True,,False,,,1.0,1,1,7.29296875,1469.928074993662,0.0006803053952175938,0.0006803053952175938
EleutherAI/pythia-6.9b,step44000,ignoring_context,True,,False,,,1.0,1,1,7.390625,1620.7187456690447,0.0006170102015986695,0.0006170102015986695
EleutherAI/pythia-6.9b,step55000,ignoring_context,True,,False,,,1.0,1,1,6.24609375,515.9932840552193,0.0019380097200896599,0.0019380097200896599
EleutherAI/pythia-6.9b,step66000,ignoring_context,True,,False,,,1.0,1,1,7.57421875,1947.3383101792642,0.0005135214537570228,0.0005135214537570228
EleutherAI/pythia-6.9b,step77000,ignoring_context,True,,False,,,1.0,1,1,7.80078125,2442.509442926133,0.0004094149985360946,0.0004094149985360946
EleutherAI/pythia-6.9b,step88000,ignoring_context,True,,False,,,1.0,1,1,7.83984375,2539.807957828288,0.00039373055624846115,0.00039373055624846115
EleutherAI/pythia-6.9b,step99000,ignoring_context,True,,False,,,1.0,1,1,8.4921875,4876.521805747295,0.0002050641912072321,0.0002050641912072321
EleutherAI/pythia-6.9b,step110000,ignoring_context,True,,False,,,1.0,1,1,8.296875,4011.317419955544,0.00024929465691874434,0.00024929465691874434
EleutherAI/pythia-6.9b,step121000,ignoring_context,True,,False,,,1.0,1,1,7.97265625,2900.5517311511153,0.00034476199450617594,0.00034476199450617594
EleutherAI/pythia-6.9b,step132000,ignoring_context,True,,False,,,1.0,1,1,8.3125,4074.4864777337,0.0002454297015009895,0.0002454297015009895
EleutherAI/pythia-6.9b,step143000,ignoring_context,True,,False,,,1.0,1,1,8.4375,4616.998049285644,0.00021659095137688503,0.00021659095137688503
