model,checkpoint,compositional_translate_sp_eng_first
EleutherAI/pythia-6.9b,step11000,11.287723841292134
EleutherAI/pythia-6.9b,step110000,11.765910287921349
EleutherAI/pythia-6.9b,step121000,11.681662570224718
EleutherAI/pythia-6.9b,step132000,11.431750351123595
EleutherAI/pythia-6.9b,step143000,11.259787570224718
EleutherAI/pythia-6.9b,step22000,10.086749473314606
EleutherAI/pythia-6.9b,step33000,9.289260007022472
EleutherAI/pythia-6.9b,step44000,10.13303195224719
EleutherAI/pythia-6.9b,step55000,10.841687148876405
EleutherAI/pythia-6.9b,step66000,10.888825491573034
EleutherAI/pythia-6.9b,step77000,10.899117801966293
EleutherAI/pythia-6.9b,step88000,10.631539676966293
EleutherAI/pythia-6.9b,step99000,10.596734550561798
