model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_V2,correct_V2,total_V2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,textfrct_V2,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_textfrct_V2_Vocabulary_Test_II_detailed.jsonl,36.0,0.0,0,36,,,,,,,
EleutherAI/pythia-6.9b,step11000,textfrct_V2,True,,True,results/pythia_6.9b/pythia-6.9b_step11000/EleutherAI_pythia-6.9b_step11000_textfrct_V2_Vocabulary_Test_II_detailed.jsonl,36.0,0.0,0,36,,,,,,,
EleutherAI/pythia-6.9b,step22000,textfrct_V2,True,,True,results/pythia_6.9b/pythia-6.9b_step22000/EleutherAI_pythia-6.9b_step22000_textfrct_V2_Vocabulary_Test_II_detailed.jsonl,36.0,0.0,0,36,,,,,,,
EleutherAI/pythia-6.9b,step33000,textfrct_V2,True,,True,results/pythia_6.9b/pythia-6.9b_step33000/EleutherAI_pythia-6.9b_step33000_textfrct_V2_Vocabulary_Test_II_detailed.jsonl,36.0,0.0,0,36,,,,,,,
EleutherAI/pythia-6.9b,step44000,textfrct_V2,True,,True,results/pythia_6.9b/pythia-6.9b_step44000/EleutherAI_pythia-6.9b_step44000_textfrct_V2_Vocabulary_Test_II_detailed.jsonl,36.0,0.1388888888888889,5,36,,,,,,,
EleutherAI/pythia-6.9b,step55000,textfrct_V2,True,,True,results/pythia_6.9b/pythia-6.9b_step55000/EleutherAI_pythia-6.9b_step55000_textfrct_V2_Vocabulary_Test_II_detailed.jsonl,36.0,0.1388888888888889,5,36,,,,,,,
EleutherAI/pythia-6.9b,step66000,textfrct_V2,True,,True,results/pythia_6.9b/pythia-6.9b_step66000/EleutherAI_pythia-6.9b_step66000_textfrct_V2_Vocabulary_Test_II_detailed.jsonl,36.0,0.05555555555555555,2,36,,,,,,,
EleutherAI/pythia-6.9b,step77000,textfrct_V2,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.898220486111111,395.3858467636967,0.003056418006005075,0.003056418006005075
EleutherAI/pythia-6.9b,step88000,textfrct_V2,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.221462673611111,201.17861569133396,0.005856915221949787,0.005856915221949787
EleutherAI/pythia-6.9b,step99000,textfrct_V2,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.279622395833333,204.87155205417258,0.005321926745273201,0.005321926745273201
EleutherAI/pythia-6.9b,step110000,textfrct_V2,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.416232638888889,239.9947306834888,0.004747350103835758,0.004747350103835758
EleutherAI/pythia-6.9b,step121000,textfrct_V2,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.053927951388889,167.56615871126837,0.006886862561808497,0.006886862561808497
EleutherAI/pythia-6.9b,step132000,textfrct_V2,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.324544270833333,220.12637088717358,0.005224442150657707,0.005224442150657707
EleutherAI/pythia-6.9b,step143000,textfrct_V2,True,,False,,,0.0,0,36,0.0,0.0,36.0,5.0,158.0758552924331,0.007214114687972455,0.007214114687972455
