model,checkpoint,textfrct
EleutherAI/pythia-6.9b,step0,0.0
EleutherAI/pythia-6.9b,step11000,0.0
EleutherAI/pythia-6.9b,step110000,0.06333333333333334
EleutherAI/pythia-6.9b,step121000,0.07
EleutherAI/pythia-6.9b,step132000,0.075
EleutherAI/pythia-6.9b,step143000,0.06166666666666667
EleutherAI/pythia-6.9b,step22000,0.0016666666666666668
EleutherAI/pythia-6.9b,step33000,0.005
EleutherAI/pythia-6.9b,step44000,0.06
EleutherAI/pythia-6.9b,step55000,0.06166666666666667
EleutherAI/pythia-6.9b,step66000,0.03
EleutherAI/pythia-6.9b,step77000,0.05921052631578947
EleutherAI/pythia-6.9b,step88000,0.056666666666666664
EleutherAI/pythia-6.9b,step99000,0.043333333333333335
