model,checkpoint,simple_icl_country_to_currency
EleutherAI/pythia-6.9b,step0,0.0
EleutherAI/pythia-6.9b,step11000,0.15656565656565657
EleutherAI/pythia-6.9b,step110000,0.5353535353535354
EleutherAI/pythia-6.9b,step121000,0.5505050505050505
EleutherAI/pythia-6.9b,step132000,0.5454545454545454
EleutherAI/pythia-6.9b,step143000,0.5454545454545454
EleutherAI/pythia-6.9b,step22000,0.3484848484848485
EleutherAI/pythia-6.9b,step33000,0.37373737373737376
EleutherAI/pythia-6.9b,step44000,0.51010101010101
EleutherAI/pythia-6.9b,step55000,0.45454545454545453
EleutherAI/pythia-6.9b,step66000,0.46464646464646464
EleutherAI/pythia-6.9b,step77000,0.51010101010101
EleutherAI/pythia-6.9b,step88000,0.494949494949495
EleutherAI/pythia-6.9b,step99000,0.5303030303030303
