model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_lower_last,correct_lower_last,total_lower_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_lower_last,True,,False,0.0,0,26,0.0,0,26,11.935697115384615,299540.43988799537,1.2930310125144748e-05,1.2930310125144748e-05
EleutherAI/pythia-6.9b,step11000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,8.807542067307692,8955.506072095008,0.00024191422584705672,0.00024191422584705672
EleutherAI/pythia-6.9b,step22000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.809945913461538,3455.652337279933,0.000615055683229157,0.000615055683229157
EleutherAI/pythia-6.9b,step33000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.633413461538462,2856.166702008375,0.00063478345107082,0.00063478345107082
EleutherAI/pythia-6.9b,step44000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.609074519230769,2448.810957417954,0.0006441996762115135,0.0006441996762115135
EleutherAI/pythia-6.9b,step55000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,7.615384615384615,3270.8518311464363,0.000621998768071528,0.000621998768071528
EleutherAI/pythia-6.9b,step66000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,9.599759615384615,21816.308714556515,8.955022458421018e-05,8.955022458421018e-05
EleutherAI/pythia-6.9b,step77000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,9.242938701923077,16353.75356605121,0.00013871673900526198,0.00013871673900526198
EleutherAI/pythia-6.9b,step88000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,8.383263221153847,6619.76712630293,0.0003062834006105034,0.0003062834006105034
EleutherAI/pythia-6.9b,step99000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,8.522385817307692,6822.883383681498,0.00024895360890860713,0.00024895360890860713
EleutherAI/pythia-6.9b,step110000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,10.087439903846153,28942.1930190456,5.002459462558298e-05,5.002459462558298e-05
EleutherAI/pythia-6.9b,step121000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,9.94140625,26519.399188776824,6.547085375131602e-05,6.547085375131602e-05
EleutherAI/pythia-6.9b,step132000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,9.574819711538462,20502.221330061202,9.47123635174291e-05,9.47123635174291e-05
EleutherAI/pythia-6.9b,step143000,compositional_lower_last,True,,False,1.0,26,26,1.0,26,26,8.96905048076923,12277.656657853688,0.00018302918104987577,0.00018302918104987577
