model,checkpoint,simple_icl_country_to_currency
EleutherAI/pythia-6.9b,step0,11.860203598484848
EleutherAI/pythia-6.9b,step11000,6.312115293560606
EleutherAI/pythia-6.9b,step110000,5.375325520833333
EleutherAI/pythia-6.9b,step121000,5.353772095959596
EleutherAI/pythia-6.9b,step132000,5.264599116161616
EleutherAI/pythia-6.9b,step143000,5.2114603061868685
EleutherAI/pythia-6.9b,step22000,5.435398910984849
EleutherAI/pythia-6.9b,step33000,5.573222458964646
EleutherAI/pythia-6.9b,step44000,5.29489228219697
EleutherAI/pythia-6.9b,step55000,5.492769491792929
EleutherAI/pythia-6.9b,step66000,4.881490688131313
EleutherAI/pythia-6.9b,step77000,5.2841698232323235
EleutherAI/pythia-6.9b,step88000,5.453342013888889
EleutherAI/pythia-6.9b,step99000,5.297200520833333
