model,checkpoint,compositional_translate_fr_eng_reverse
EleutherAI/pythia-6.9b,step11000,10.869745979532164
EleutherAI/pythia-6.9b,step110000,9.819650036549708
EleutherAI/pythia-6.9b,step121000,9.933456688596491
EleutherAI/pythia-6.9b,step132000,9.7710846125731
EleutherAI/pythia-6.9b,step143000,9.63891173245614
EleutherAI/pythia-6.9b,step22000,10.471011513157896
EleutherAI/pythia-6.9b,step33000,10.306652046783626
EleutherAI/pythia-6.9b,step44000,9.891790021929825
EleutherAI/pythia-6.9b,step55000,9.949310124269006
EleutherAI/pythia-6.9b,step66000,9.724049707602338
EleutherAI/pythia-6.9b,step77000,9.924022295321638
EleutherAI/pythia-6.9b,step88000,9.610128837719298
EleutherAI/pythia-6.9b,step99000,9.755733735380117
