model,checkpoint,compositional_translate_fr_eng_upper
EleutherAI/pythia-6.9b,step0,11.503837719298245
EleutherAI/pythia-6.9b,step11000,7.06062682748538
EleutherAI/pythia-6.9b,step110000,5.576423154239766
EleutherAI/pythia-6.9b,step121000,5.571637426900585
EleutherAI/pythia-6.9b,step132000,5.515596445540936
EleutherAI/pythia-6.9b,step143000,5.520365040204679
EleutherAI/pythia-6.9b,step22000,5.939007675438597
EleutherAI/pythia-6.9b,step33000,5.484791895102339
EleutherAI/pythia-6.9b,step44000,5.351893731725146
EleutherAI/pythia-6.9b,step55000,5.143680327119883
EleutherAI/pythia-6.9b,step66000,5.136421783625731
EleutherAI/pythia-6.9b,step77000,5.420915570175438
EleutherAI/pythia-6.9b,step88000,5.567548428362573
EleutherAI/pythia-6.9b,step99000,5.55241456505848
