model,checkpoint,compositional_translate_sp_eng_upper
EleutherAI/pythia-6.9b,step0,11.54248595505618
EleutherAI/pythia-6.9b,step11000,6.907830056179775
EleutherAI/pythia-6.9b,step110000,5.140614027387641
EleutherAI/pythia-6.9b,step121000,5.119733146067416
EleutherAI/pythia-6.9b,step132000,5.066263606039326
EleutherAI/pythia-6.9b,step143000,5.080187851123595
EleutherAI/pythia-6.9b,step22000,5.636104283707865
EleutherAI/pythia-6.9b,step33000,5.146319785814606
EleutherAI/pythia-6.9b,step44000,4.862145584620786
EleutherAI/pythia-6.9b,step55000,4.757472349016854
EleutherAI/pythia-6.9b,step66000,4.757593047752809
EleutherAI/pythia-6.9b,step77000,5.044126360603933
EleutherAI/pythia-6.9b,step88000,5.063355863764045
EleutherAI/pythia-6.9b,step99000,5.172637596558989
