model,checkpoint,compositional_gerund_reverse
EleutherAI/pythia-6.9b,step0,11.3608672752809
EleutherAI/pythia-6.9b,step11000,6.764769136235955
EleutherAI/pythia-6.9b,step110000,6.24170470505618
EleutherAI/pythia-6.9b,step121000,6.576610779494382
EleutherAI/pythia-6.9b,step132000,6.517468398876405
EleutherAI/pythia-6.9b,step143000,6.219946014747191
EleutherAI/pythia-6.9b,step22000,6.728559515449438
EleutherAI/pythia-6.9b,step33000,6.44849455758427
EleutherAI/pythia-6.9b,step44000,6.339448735955056
EleutherAI/pythia-6.9b,step55000,6.344682672050562
EleutherAI/pythia-6.9b,step66000,6.133580582865169
EleutherAI/pythia-6.9b,step77000,6.399139747191011
EleutherAI/pythia-6.9b,step88000,6.377633426966292
EleutherAI/pythia-6.9b,step99000,6.488061797752809
