model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_last,correct_plural_last,total_plural_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_plural_last,True,,False,0.0,0,165,0.0,0,165,12.198248106060607,220282.97237624033,5.704778940565981e-06,5.704778940565981e-06
EleutherAI/pythia-6.9b,step11000,compositional_plural_last,True,,False,0.8424242424242424,139,165,0.8424242424242424,139,165,7.879024621212121,24737.06647781931,0.0006190805370086982,0.0006190805370086982
EleutherAI/pythia-6.9b,step22000,compositional_plural_last,True,,False,0.8606060606060606,142,165,0.8606060606060606,142,165,7.669602272727273,145172.29037512044,0.0009025355319124164,0.0009025355319124164
EleutherAI/pythia-6.9b,step33000,compositional_plural_last,True,,False,0.8727272727272727,144,165,0.8727272727272727,144,165,8.322419507575757,77106.55513903886,0.00042836750271087046,0.00042836750271087046
EleutherAI/pythia-6.9b,step44000,compositional_plural_last,True,,False,0.9030303030303031,149,165,0.9030303030303031,149,165,7.536339962121212,32831.20347246904,0.0008909766046899453,0.0008909766046899453
EleutherAI/pythia-6.9b,step55000,compositional_plural_last,True,,False,0.8727272727272727,144,165,0.8727272727272727,144,165,8.506581439393939,113997.19058276185,0.00035497014151499994,0.00035497014151499994
EleutherAI/pythia-6.9b,step66000,compositional_plural_last,True,,False,0.8666666666666667,143,165,0.8666666666666667,143,165,8.813967803030303,251059.76560583964,0.0002678900444492434,0.0002678900444492434
EleutherAI/pythia-6.9b,step77000,compositional_plural_last,True,,False,0.8545454545454545,141,165,0.8545454545454545,141,165,8.743868371212121,141329.8355122253,0.0003048121434452247,0.0003048121434452247
EleutherAI/pythia-6.9b,step88000,compositional_plural_last,True,,False,0.8363636363636363,138,165,0.8363636363636363,138,165,8.52360321969697,93613.6055244589,0.0003556036900198972,0.0003556036900198972
EleutherAI/pythia-6.9b,step99000,compositional_plural_last,True,,False,0.8303030303030303,137,165,0.8303030303030303,137,165,8.986316287878788,74825.35458202711,0.00024928985487379234,0.00024928985487379234
EleutherAI/pythia-6.9b,step110000,compositional_plural_last,True,,False,0.8545454545454545,141,165,0.8545454545454545,141,165,9.424928977272728,289935.2155295144,0.00017162766477560855,0.00017162766477560855
EleutherAI/pythia-6.9b,step121000,compositional_plural_last,True,,False,0.8181818181818182,135,165,0.8181818181818182,135,165,9.344389204545454,147398.53949348594,0.00019418250349347187,0.00019418250349347187
EleutherAI/pythia-6.9b,step132000,compositional_plural_last,True,,False,0.8,132,165,0.8,132,165,9.369460227272727,163906.953973679,0.00016209400390594403,0.00016209400390594403
EleutherAI/pythia-6.9b,step143000,compositional_plural_last,True,,False,0.8484848484848485,140,165,0.8484848484848485,140,165,8.824408143939394,123120.8538033377,0.00028486918778880386,0.00028486918778880386
