model,checkpoint,textfrct_CV2
EleutherAI/pythia-6.9b,step110000,4.81171875
EleutherAI/pythia-6.9b,step121000,4.780322265625
EleutherAI/pythia-6.9b,step132000,4.841259765625
EleutherAI/pythia-6.9b,step143000,4.75283203125
EleutherAI/pythia-6.9b,step33000,5.393994140625
EleutherAI/pythia-6.9b,step44000,5.46982421875
EleutherAI/pythia-6.9b,step55000,5.111767578125
EleutherAI/pythia-6.9b,step66000,5.154541015625
EleutherAI/pythia-6.9b,step77000,5.01513671875
EleutherAI/pythia-6.9b,step88000,4.939501953125
EleutherAI/pythia-6.9b,step99000,4.85
