model,checkpoint,compositional_plural_reverse_first
EleutherAI/pythia-6.9b,step0,12.145833333333334
EleutherAI/pythia-6.9b,step11000,7.874526515151516
EleutherAI/pythia-6.9b,step110000,9.420288825757575
EleutherAI/pythia-6.9b,step121000,9.414417613636363
EleutherAI/pythia-6.9b,step132000,9.484895833333333
EleutherAI/pythia-6.9b,step143000,8.978811553030303
EleutherAI/pythia-6.9b,step22000,7.743678977272728
EleutherAI/pythia-6.9b,step33000,8.395904356060607
EleutherAI/pythia-6.9b,step44000,7.574976325757576
EleutherAI/pythia-6.9b,step55000,8.442471590909092
EleutherAI/pythia-6.9b,step66000,8.76624053030303
EleutherAI/pythia-6.9b,step77000,8.80033143939394
EleutherAI/pythia-6.9b,step88000,8.574573863636363
EleutherAI/pythia-6.9b,step99000,8.927651515151515
