model,checkpoint,compositional_plural_lower
EleutherAI/pythia-6.9b,step0,11.774971242331288
EleutherAI/pythia-6.9b,step11000,5.249832246932515
EleutherAI/pythia-6.9b,step110000,4.956959355828221
EleutherAI/pythia-6.9b,step121000,4.885580425613497
EleutherAI/pythia-6.9b,step132000,4.874388899539877
EleutherAI/pythia-6.9b,step143000,4.7915428489263805
EleutherAI/pythia-6.9b,step22000,5.10772143404908
EleutherAI/pythia-6.9b,step33000,4.770531777223926
EleutherAI/pythia-6.9b,step44000,4.510304831288344
EleutherAI/pythia-6.9b,step55000,4.902823044478527
EleutherAI/pythia-6.9b,step66000,4.875910659509202
EleutherAI/pythia-6.9b,step77000,4.8890553105828225
EleutherAI/pythia-6.9b,step88000,4.633585362346626
EleutherAI/pythia-6.9b,step99000,4.82898773006135
