model,checkpoint,simple_icl_uppercase
EleutherAI/pythia-6.9b,step0,11.72821514423077
EleutherAI/pythia-6.9b,step11000,9.482872596153847
EleutherAI/pythia-6.9b,step110000,8.272536057692308
EleutherAI/pythia-6.9b,step121000,8.440655048076923
EleutherAI/pythia-6.9b,step132000,8.20147235576923
EleutherAI/pythia-6.9b,step143000,8.090895432692308
EleutherAI/pythia-6.9b,step22000,7.514122596153846
EleutherAI/pythia-6.9b,step33000,6.482572115384615
EleutherAI/pythia-6.9b,step44000,7.2734375
EleutherAI/pythia-6.9b,step55000,6.833383413461538
EleutherAI/pythia-6.9b,step66000,7.419621394230769
EleutherAI/pythia-6.9b,step77000,7.8311298076923075
EleutherAI/pythia-6.9b,step88000,7.611027644230769
EleutherAI/pythia-6.9b,step99000,8.1953125
