model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_translate_sp_eng_first,correct_translate_sp_eng_first,total_translate_sp_eng_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_translate_sp_eng_first,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_compositional_translate_sp_eng_first_translate_sp_eng_first_detailed.jsonl,178.0,0.0,0,178,,,,,,,
EleutherAI/pythia-6.9b,step11000,compositional_translate_sp_eng_first,True,,False,,,0.15168539325842698,27,178,0.15168539325842698,27.0,178.0,11.287723841292134,637574.4729041399,5.761777498862395e-05,5.761777498862395e-05
EleutherAI/pythia-6.9b,step22000,compositional_translate_sp_eng_first,True,,False,,,0.1797752808988764,32,178,0.1797752808988764,32.0,178.0,10.086749473314606,109664.05436965344,0.00019937267203396853,0.00019937267203396853
EleutherAI/pythia-6.9b,step33000,compositional_translate_sp_eng_first,True,,False,,,0.24719101123595505,44,178,0.24719101123595505,44.0,178.0,9.289260007022472,73240.76215174138,0.00036401992729453585,0.00036401992729453585
EleutherAI/pythia-6.9b,step44000,compositional_translate_sp_eng_first,True,,False,,,0.15730337078651685,28,178,0.15730337078651685,28.0,178.0,10.13303195224719,65932.20028638621,0.0001229526707703885,0.0001229526707703885
EleutherAI/pythia-6.9b,step55000,compositional_translate_sp_eng_first,True,,False,,,0.19101123595505617,34,178,0.19101123595505617,34.0,178.0,10.841687148876405,163294.64433816823,5.49309405181031e-05,5.49309405181031e-05
EleutherAI/pythia-6.9b,step66000,compositional_translate_sp_eng_first,True,,False,,,0.21910112359550563,39,178,0.21910112359550563,39.0,178.0,10.888825491573034,180318.92924081278,5.571794345708185e-05,5.571794345708185e-05
EleutherAI/pythia-6.9b,step77000,compositional_translate_sp_eng_first,True,,False,,,0.19662921348314608,35,178,0.19662921348314608,35.0,178.0,10.899117801966293,212791.3388283029,7.645636093733867e-05,7.645636093733867e-05
EleutherAI/pythia-6.9b,step88000,compositional_translate_sp_eng_first,True,,False,,,0.10674157303370786,19,178,0.10674157303370786,19.0,178.0,10.631539676966293,144393.44135240075,7.371283942227998e-05,7.371283942227998e-05
EleutherAI/pythia-6.9b,step99000,compositional_translate_sp_eng_first,True,,False,,,0.19101123595505617,34,178,0.19101123595505617,34.0,178.0,10.596734550561798,143382.8567377558,0.00010528441540814182,0.00010528441540814182
EleutherAI/pythia-6.9b,step110000,compositional_translate_sp_eng_first,True,,False,,,0.19101123595505617,34,178,0.19101123595505617,34.0,178.0,11.765910287921349,783703.9261560726,2.4935164745768715e-05,2.4935164745768715e-05
EleutherAI/pythia-6.9b,step121000,compositional_translate_sp_eng_first,True,,False,,,0.21348314606741572,38,178,0.21348314606741572,38.0,178.0,11.681662570224718,3866725.092218127,2.943561424010976e-05,2.943561424010976e-05
EleutherAI/pythia-6.9b,step132000,compositional_translate_sp_eng_first,True,,False,,,0.21910112359550563,39,178,0.21910112359550563,39.0,178.0,11.431750351123595,573762.5963907262,4.6813589103964355e-05,4.6813589103964355e-05
EleutherAI/pythia-6.9b,step143000,compositional_translate_sp_eng_first,True,,False,,,0.20786516853932585,37,178,0.20786516853932585,37.0,178.0,11.259787570224718,499150.917105651,4.826635273458726e-05,4.826635273458726e-05
