model,checkpoint,compositional_upper_reverse
EleutherAI/pythia-6.9b,step0,11.932241586538462
EleutherAI/pythia-6.9b,step11000,8.501051682692308
EleutherAI/pythia-6.9b,step110000,9.619290865384615
EleutherAI/pythia-6.9b,step121000,9.827524038461538
EleutherAI/pythia-6.9b,step132000,9.58623798076923
EleutherAI/pythia-6.9b,step143000,9.227013221153847
EleutherAI/pythia-6.9b,step22000,7.459735576923077
EleutherAI/pythia-6.9b,step33000,6.980318509615385
EleutherAI/pythia-6.9b,step44000,8.41962139423077
EleutherAI/pythia-6.9b,step55000,7.53515625
EleutherAI/pythia-6.9b,step66000,9.319711538461538
EleutherAI/pythia-6.9b,step77000,8.439453125
EleutherAI/pythia-6.9b,step88000,8.294471153846153
EleutherAI/pythia-6.9b,step99000,8.633713942307692
