model,checkpoint,compositional_translate_fr_eng_first
EleutherAI/pythia-6.9b,step0,12.174433479532164
EleutherAI/pythia-6.9b,step11000,10.819558662280702
EleutherAI/pythia-6.9b,step110000,11.696112024853802
EleutherAI/pythia-6.9b,step121000,11.605126096491228
EleutherAI/pythia-6.9b,step132000,11.384183114035087
EleutherAI/pythia-6.9b,step143000,11.21048062865497
EleutherAI/pythia-6.9b,step22000,9.853618421052632
EleutherAI/pythia-6.9b,step33000,9.400287828947368
EleutherAI/pythia-6.9b,step44000,9.944741410818713
EleutherAI/pythia-6.9b,step55000,10.67313139619883
EleutherAI/pythia-6.9b,step66000,10.860791301169591
EleutherAI/pythia-6.9b,step77000,11.175918311403509
EleutherAI/pythia-6.9b,step88000,10.369494700292398
EleutherAI/pythia-6.9b,step99000,10.699607090643275
