model,checkpoint,textfrct_V4
EleutherAI/pythia-6.9b,step0,11.560546875
EleutherAI/pythia-6.9b,step11000,6.661349826388889
EleutherAI/pythia-6.9b,step110000,5.181315104166667
EleutherAI/pythia-6.9b,step121000,4.888671875
EleutherAI/pythia-6.9b,step132000,5.1142578125
EleutherAI/pythia-6.9b,step143000,4.800021701388889
EleutherAI/pythia-6.9b,step22000,5.501519097222222
EleutherAI/pythia-6.9b,step33000,6.217664930555555
EleutherAI/pythia-6.9b,step44000,6.310546875
EleutherAI/pythia-6.9b,step55000,5.380859375
EleutherAI/pythia-6.9b,step66000,5.394965277777778
EleutherAI/pythia-6.9b,step77000,5.783420138888889
EleutherAI/pythia-6.9b,step88000,4.972222222222222
EleutherAI/pythia-6.9b,step99000,5.066948784722222
