model,checkpoint,multistep_arithmetic
EleutherAI/pythia-6.9b,step0,11.8130859375
EleutherAI/pythia-6.9b,step11000,11.880859375
EleutherAI/pythia-6.9b,step110000,11.2666015625
EleutherAI/pythia-6.9b,step121000,11.3369140625
EleutherAI/pythia-6.9b,step132000,11.3810546875
EleutherAI/pythia-6.9b,step143000,10.905078125
EleutherAI/pythia-6.9b,step22000,10.7322265625
EleutherAI/pythia-6.9b,step33000,9.9158203125
EleutherAI/pythia-6.9b,step44000,10.58671875
EleutherAI/pythia-6.9b,step55000,9.98134765625
EleutherAI/pythia-6.9b,step66000,11.0599609375
EleutherAI/pythia-6.9b,step77000,11.3197265625
EleutherAI/pythia-6.9b,step88000,10.819921875
EleutherAI/pythia-6.9b,step99000,10.6564453125
