model,checkpoint,ioi_task
EleutherAI/pythia-6.9b,step11000,4.3551953125
EleutherAI/pythia-6.9b,step110000,3.24498046875
EleutherAI/pythia-6.9b,step121000,3.320072265625
EleutherAI/pythia-6.9b,step132000,3.32998828125
EleutherAI/pythia-6.9b,step143000,3.239171875
EleutherAI/pythia-6.9b,step22000,3.388185546875
EleutherAI/pythia-6.9b,step33000,4.013755859375
EleutherAI/pythia-6.9b,step44000,4.056509765625
EleutherAI/pythia-6.9b,step55000,3.88765234375
EleutherAI/pythia-6.9b,step66000,3.653447265625
EleutherAI/pythia-6.9b,step77000,3.016685546875
EleutherAI/pythia-6.9b,step88000,3.22528515625
EleutherAI/pythia-6.9b,step99000,3.20817578125
