model,checkpoint,compositional_translate_eng_fr_first
EleutherAI/pythia-6.9b,step0,0.005780346820809248
EleutherAI/pythia-6.9b,step11000,0.2138728323699422
EleutherAI/pythia-6.9b,step110000,0.2254335260115607
EleutherAI/pythia-6.9b,step121000,0.23699421965317918
EleutherAI/pythia-6.9b,step132000,0.24277456647398843
EleutherAI/pythia-6.9b,step143000,0.2254335260115607
EleutherAI/pythia-6.9b,step22000,0.21965317919075145
EleutherAI/pythia-6.9b,step33000,0.2658959537572254
EleutherAI/pythia-6.9b,step44000,0.23699421965317918
EleutherAI/pythia-6.9b,step55000,0.2774566473988439
EleutherAI/pythia-6.9b,step66000,0.2543352601156069
EleutherAI/pythia-6.9b,step77000,0.2254335260115607
EleutherAI/pythia-6.9b,step88000,0.21965317919075145
EleutherAI/pythia-6.9b,step99000,0.24277456647398843
