model,checkpoint,compositional_gerund_first
EleutherAI/pythia-6.9b,step110000,9.324855161516854
EleutherAI/pythia-6.9b,step121000,9.194281074438202
EleutherAI/pythia-6.9b,step132000,8.998024929775282
EleutherAI/pythia-6.9b,step143000,8.416673981741573
EleutherAI/pythia-6.9b,step33000,6.657610603932584
EleutherAI/pythia-6.9b,step44000,8.004806004213483
EleutherAI/pythia-6.9b,step55000,8.036012113764045
EleutherAI/pythia-6.9b,step66000,8.408510358146067
EleutherAI/pythia-6.9b,step77000,8.6323516502809
EleutherAI/pythia-6.9b,step88000,8.03928195224719
EleutherAI/pythia-6.9b,step99000,8.142534234550562
