model,checkpoint,compositional_lower_reverse
EleutherAI/pythia-6.9b,step0,11.811298076923077
EleutherAI/pythia-6.9b,step11000,8.759765625
EleutherAI/pythia-6.9b,step110000,10.121694711538462
EleutherAI/pythia-6.9b,step121000,9.963040865384615
EleutherAI/pythia-6.9b,step132000,9.602463942307692
EleutherAI/pythia-6.9b,step143000,9.035907451923077
EleutherAI/pythia-6.9b,step22000,7.817608173076923
EleutherAI/pythia-6.9b,step33000,7.576021634615385
EleutherAI/pythia-6.9b,step44000,7.736177884615385
EleutherAI/pythia-6.9b,step55000,7.7823016826923075
EleutherAI/pythia-6.9b,step66000,9.387920673076923
EleutherAI/pythia-6.9b,step77000,9.11328125
EleutherAI/pythia-6.9b,step88000,8.08173076923077
EleutherAI/pythia-6.9b,step99000,8.519981971153847
