model,checkpoint,logical_ops
EleutherAI/pythia-6.9b,step0,0.0
EleutherAI/pythia-6.9b,step11000,0.7333333333333333
EleutherAI/pythia-6.9b,step110000,0.9333333333333333
EleutherAI/pythia-6.9b,step121000,0.9166666666666666
EleutherAI/pythia-6.9b,step132000,0.9166666666666666
EleutherAI/pythia-6.9b,step143000,0.9166666666666666
EleutherAI/pythia-6.9b,step22000,0.8666666666666667
EleutherAI/pythia-6.9b,step33000,0.9
EleutherAI/pythia-6.9b,step44000,0.8666666666666667
EleutherAI/pythia-6.9b,step55000,0.8833333333333333
EleutherAI/pythia-6.9b,step66000,0.9333333333333333
EleutherAI/pythia-6.9b,step77000,0.9166666666666666
EleutherAI/pythia-6.9b,step88000,0.9166666666666666
EleutherAI/pythia-6.9b,step99000,0.9166666666666666
