model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_MA2,correct_MA2,total_MA2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,textfrct_MA2,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_textfrct_MA2_Objest-Number_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step11000,textfrct_MA2,True,,True,results/pythia_6.9b/pythia-6.9b_step11000/EleutherAI_pythia-6.9b_step11000_textfrct_MA2_Objest-Number_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step22000,textfrct_MA2,True,,True,results/pythia_6.9b/pythia-6.9b_step22000/EleutherAI_pythia-6.9b_step22000_textfrct_MA2_Objest-Number_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step33000,textfrct_MA2,True,,True,results/pythia_6.9b/pythia-6.9b_step33000/EleutherAI_pythia-6.9b_step33000_textfrct_MA2_Objest-Number_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step44000,textfrct_MA2,True,,True,results/pythia_6.9b/pythia-6.9b_step44000/EleutherAI_pythia-6.9b_step44000_textfrct_MA2_Objest-Number_Test_detailed.jsonl,30.0,0.0,0,30,,,,,,,
EleutherAI/pythia-6.9b,step55000,textfrct_MA2,True,,False,,,0.0,0,30,0.0,0.0,30.0,12.195833333333333,326189.19691102416,7.455482865027434e-06,7.455482865027434e-06
EleutherAI/pythia-6.9b,step66000,textfrct_MA2,True,,False,,,0.0,0,30,0.0,0.0,30.0,11.686979166666667,209075.7042809312,1.455738858375078e-05,1.455738858375078e-05
EleutherAI/pythia-6.9b,step77000,textfrct_MA2,True,,False,,,0.0,0,30,0.0,0.0,30.0,11.935677083333333,240854.15340892176,1.045695598169619e-05,1.045695598169619e-05
EleutherAI/pythia-6.9b,step88000,textfrct_MA2,True,,False,,,0.0,0,30,0.0,0.0,30.0,11.942708333333334,235105.4061104758,1.0468770189034608e-05,1.0468770189034608e-05
EleutherAI/pythia-6.9b,step99000,textfrct_MA2,True,,False,,,0.0,0,30,0.0,0.0,30.0,12.66015625,491787.6311961764,5.254139454456054e-06,5.254139454456054e-06
EleutherAI/pythia-6.9b,step110000,textfrct_MA2,True,,False,,,0.0,0,30,0.0,0.0,30.0,12.605989583333333,477721.0041079992,5.845071792858739e-06,5.845071792858739e-06
EleutherAI/pythia-6.9b,step121000,textfrct_MA2,True,,False,,,0.0,0,30,0.0,0.0,30.0,12.334375,384695.4850537228,8.360056831535058e-06,8.360056831535058e-06
EleutherAI/pythia-6.9b,step132000,textfrct_MA2,True,,False,,,0.0,0,30,0.0,0.0,30.0,12.719791666666667,521023.5643736549,5.0353416297442625e-06,5.0353416297442625e-06
EleutherAI/pythia-6.9b,step143000,textfrct_MA2,True,,False,,,0.0,0,30,0.0,0.0,30.0,12.460677083333334,413776.3910237107,6.576497595226873e-06,6.576497595226873e-06
