model,checkpoint,copying
EleutherAI/pythia-6.9b,step0,11.7890625
EleutherAI/pythia-6.9b,step11000,3.3373046875
EleutherAI/pythia-6.9b,step110000,3.115771484375
EleutherAI/pythia-6.9b,step121000,3.065625
EleutherAI/pythia-6.9b,step132000,3.112255859375
EleutherAI/pythia-6.9b,step143000,3.00029296875
EleutherAI/pythia-6.9b,step22000,3.1126953125
EleutherAI/pythia-6.9b,step33000,2.98974609375
EleutherAI/pythia-6.9b,step44000,3.1388671875
EleutherAI/pythia-6.9b,step55000,3.040087890625
EleutherAI/pythia-6.9b,step66000,3.234326171875
EleutherAI/pythia-6.9b,step77000,3.124462890625
EleutherAI/pythia-6.9b,step88000,2.8916015625
EleutherAI/pythia-6.9b,step99000,2.920458984375
