model,checkpoint,compositional_translate_fr_eng_lower
EleutherAI/pythia-6.9b,step0,11.604009789156626
EleutherAI/pythia-6.9b,step11000,10.646272590361447
EleutherAI/pythia-6.9b,step110000,8.420639589608435
EleutherAI/pythia-6.9b,step121000,8.307570124246988
EleutherAI/pythia-6.9b,step132000,8.184346762048193
EleutherAI/pythia-6.9b,step143000,8.162944747740964
EleutherAI/pythia-6.9b,step22000,8.739163685993976
EleutherAI/pythia-6.9b,step33000,8.364775508283133
EleutherAI/pythia-6.9b,step44000,7.867011012801205
EleutherAI/pythia-6.9b,step55000,8.084196159638553
EleutherAI/pythia-6.9b,step66000,7.887036426957831
EleutherAI/pythia-6.9b,step77000,8.406308829066266
EleutherAI/pythia-6.9b,step88000,8.109716208584338
EleutherAI/pythia-6.9b,step99000,8.248105704066266
