model,checkpoint,textfrct_CV3
EleutherAI/pythia-6.9b,step110000,10.357042100694445
EleutherAI/pythia-6.9b,step121000,10.078776041666666
EleutherAI/pythia-6.9b,step132000,10.02099609375
EleutherAI/pythia-6.9b,step143000,10.1025390625
EleutherAI/pythia-6.9b,step33000,11.2236328125
EleutherAI/pythia-6.9b,step44000,11.108561197916666
EleutherAI/pythia-6.9b,step55000,10.400444878472221
EleutherAI/pythia-6.9b,step66000,10.169596354166666
EleutherAI/pythia-6.9b,step77000,10.230088975694445
EleutherAI/pythia-6.9b,step88000,9.984375
EleutherAI/pythia-6.9b,step99000,10.118706597222221
