model,checkpoint,coreference
EleutherAI/pythia-6.9b,step110000,5.538037109375
EleutherAI/pythia-6.9b,step121000,5.52783203125
EleutherAI/pythia-6.9b,step132000,5.57353515625
EleutherAI/pythia-6.9b,step143000,5.52138671875
EleutherAI/pythia-6.9b,step33000,5.617578125
EleutherAI/pythia-6.9b,step44000,5.283642578125
EleutherAI/pythia-6.9b,step55000,5.31826171875
EleutherAI/pythia-6.9b,step66000,5.49716796875
EleutherAI/pythia-6.9b,step77000,5.249169921875
EleutherAI/pythia-6.9b,step88000,5.37431640625
EleutherAI/pythia-6.9b,step99000,5.676416015625
