model,checkpoint,compositional_gerund_last
EleutherAI/pythia-6.9b,step110000,10.467213834269662
EleutherAI/pythia-6.9b,step121000,9.983804424157304
EleutherAI/pythia-6.9b,step132000,9.885884831460674
EleutherAI/pythia-6.9b,step143000,9.735516151685394
EleutherAI/pythia-6.9b,step33000,7.001536165730337
EleutherAI/pythia-6.9b,step44000,8.248924683988765
EleutherAI/pythia-6.9b,step55000,8.163974719101123
EleutherAI/pythia-6.9b,step66000,9.235472261235955
EleutherAI/pythia-6.9b,step77000,9.749385533707866
EleutherAI/pythia-6.9b,step88000,9.830100070224718
EleutherAI/pythia-6.9b,step99000,9.466950491573034
