model,checkpoint,compositional_plural_upper
EleutherAI/pythia-6.9b,step0,11.782717803030303
EleutherAI/pythia-6.9b,step11000,3.7071910511363635
EleutherAI/pythia-6.9b,step110000,3.4857599431818183
EleutherAI/pythia-6.9b,step121000,3.469140625
EleutherAI/pythia-6.9b,step132000,3.446863162878788
EleutherAI/pythia-6.9b,step143000,3.4307114109848484
EleutherAI/pythia-6.9b,step22000,3.466110321969697
EleutherAI/pythia-6.9b,step33000,3.301278409090909
EleutherAI/pythia-6.9b,step44000,3.293445194128788
EleutherAI/pythia-6.9b,step55000,3.372449100378788
EleutherAI/pythia-6.9b,step66000,3.3970703125
EleutherAI/pythia-6.9b,step77000,3.418649384469697
EleutherAI/pythia-6.9b,step88000,3.40390625
EleutherAI/pythia-6.9b,step99000,3.41174834280303
