model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_RG1,correct_RG1,total_RG1,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,10.590885416666667,64716.66767638065,5.3546566680654026e-05,5.3546566680654026e-05
EleutherAI/pythia-6.9b,step11000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,11.802604166666667,242964.2339233053,1.80163097119321e-05,1.80163097119321e-05
EleutherAI/pythia-6.9b,step22000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,11.083072916666667,86863.30160529602,2.0307169016679698e-05,2.0307169016679698e-05
EleutherAI/pythia-6.9b,step33000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,11.507291666666667,158442.3228013744,1.9129549253652626e-05,1.9129549253652626e-05
EleutherAI/pythia-6.9b,step44000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,11.61640625,188896.3283056573,2.1006273128828218e-05,2.1006273128828218e-05
EleutherAI/pythia-6.9b,step55000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,11.231770833333334,135778.35753088858,2.3289117940376402e-05,2.3289117940376402e-05
EleutherAI/pythia-6.9b,step66000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,10.740104166666667,90136.99461297705,3.512351488727976e-05,3.512351488727976e-05
EleutherAI/pythia-6.9b,step77000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,11.243489583333334,115533.63400127964,2.0966053890085122e-05,2.0966053890085122e-05
EleutherAI/pythia-6.9b,step88000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,10.980729166666666,87969.92477620354,2.4411114472464298e-05,2.4411114472464298e-05
EleutherAI/pythia-6.9b,step99000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,10.973177083333333,103998.21181118346,2.7707945031958363e-05,2.7707945031958363e-05
EleutherAI/pythia-6.9b,step110000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,11.75,213529.01666249603,1.301741878236304e-05,1.301741878236304e-05
EleutherAI/pythia-6.9b,step121000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,11.711197916666666,232632.35315689896,1.3532099611091079e-05,1.3532099611091079e-05
EleutherAI/pythia-6.9b,step132000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,12.03046875,336902.6113230923,1.059853247626456e-05,1.059853247626456e-05
EleutherAI/pythia-6.9b,step143000,textfrct_RG1,True,,False,0.0,0,30,0.0,0,30,11.369270833333333,177089.59529829674,1.885277712923468e-05,1.885277712923468e-05
