model,checkpoint,compositional_upper_reverse_last
EleutherAI/pythia-6.9b,step0,11.715444711538462
EleutherAI/pythia-6.9b,step11000,8.49053485576923
EleutherAI/pythia-6.9b,step110000,9.83984375
EleutherAI/pythia-6.9b,step121000,9.400841346153847
EleutherAI/pythia-6.9b,step132000,9.511117788461538
EleutherAI/pythia-6.9b,step143000,9.251051682692308
EleutherAI/pythia-6.9b,step22000,7.198918269230769
EleutherAI/pythia-6.9b,step33000,7.094050480769231
EleutherAI/pythia-6.9b,step44000,8.361177884615385
EleutherAI/pythia-6.9b,step55000,7.703876201923077
EleutherAI/pythia-6.9b,step66000,9.277794471153847
EleutherAI/pythia-6.9b,step77000,8.488131009615385
EleutherAI/pythia-6.9b,step88000,8.292067307692308
EleutherAI/pythia-6.9b,step99000,8.738431490384615
