model,checkpoint,string_analogy
EleutherAI/pythia-6.9b,step0,11.50546875
EleutherAI/pythia-6.9b,step11000,8.382421875
EleutherAI/pythia-6.9b,step110000,8.466015625
EleutherAI/pythia-6.9b,step121000,8.71171875
EleutherAI/pythia-6.9b,step132000,9.1328125
EleutherAI/pythia-6.9b,step143000,8.90703125
EleutherAI/pythia-6.9b,step22000,8.0234375
EleutherAI/pythia-6.9b,step33000,8.4380859375
EleutherAI/pythia-6.9b,step44000,8.2953125
EleutherAI/pythia-6.9b,step55000,8.532421875
EleutherAI/pythia-6.9b,step66000,8.3515625
EleutherAI/pythia-6.9b,step77000,8.472265625
EleutherAI/pythia-6.9b,step88000,8.3986328125
EleutherAI/pythia-6.9b,step99000,8.6453125
