model,checkpoint,compositional_upper_last
EleutherAI/pythia-6.9b,step0,11.924879807692308
EleutherAI/pythia-6.9b,step11000,8.549579326923077
EleutherAI/pythia-6.9b,step110000,9.927283653846153
EleutherAI/pythia-6.9b,step121000,9.577524038461538
EleutherAI/pythia-6.9b,step132000,9.65985576923077
EleutherAI/pythia-6.9b,step143000,9.157752403846153
EleutherAI/pythia-6.9b,step22000,7.429837740384615
EleutherAI/pythia-6.9b,step33000,6.972355769230769
EleutherAI/pythia-6.9b,step44000,8.202373798076923
EleutherAI/pythia-6.9b,step55000,7.641376201923077
EleutherAI/pythia-6.9b,step66000,9.161358173076923
EleutherAI/pythia-6.9b,step77000,8.567307692307692
EleutherAI/pythia-6.9b,step88000,8.44110576923077
EleutherAI/pythia-6.9b,step99000,8.68389423076923
