model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_RL4,correct_RL4,total_RL4,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,11.483723958333334,188416.21048777713,2.0024575808984928e-05,2.0024575808984928e-05
EleutherAI/pythia-6.9b,step11000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.741048177083334,28265.301992274526,0.00010309838591647103,0.00010309838591647103
EleutherAI/pythia-6.9b,step22000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.149576822916666,16909.480914320247,0.00017108803137546731,0.00017108803137546731
EleutherAI/pythia-6.9b,step33000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.388509114583334,23970.82261120879,0.0001443766070740584,0.0001443766070740584
EleutherAI/pythia-6.9b,step44000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.81201171875,33550.395197154896,8.146984308963873e-05,8.146984308963873e-05
EleutherAI/pythia-6.9b,step55000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.98779296875,41419.51838583586,9.327507622109609e-05,9.327507622109609e-05
EleutherAI/pythia-6.9b,step66000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.04248046875,49551.63064259971,7.868904595136946e-05,7.868904595136946e-05
EleutherAI/pythia-6.9b,step77000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.217447916666666,54791.856454352965,7.199536967537164e-05,7.199536967537164e-05
EleutherAI/pythia-6.9b,step88000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.435221354166666,22860.39089474161,0.00014555106412415784,0.00014555106412415784
EleutherAI/pythia-6.9b,step99000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.380533854166666,60695.07414380522,5.692246027858864e-05,5.692246027858864e-05
EleutherAI/pythia-6.9b,step110000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.225748697916666,50344.878062412805,6.414080976305885e-05,6.414080976305885e-05
EleutherAI/pythia-6.9b,step121000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.970703125,39712.52805540129,8.492894054733714e-05,8.492894054733714e-05
EleutherAI/pythia-6.9b,step132000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.459798177083334,65262.73874660317,5.8923587388438234e-05,5.8923587388438234e-05
EleutherAI/pythia-6.9b,step143000,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.273111979166666,52495.38499054991,6.481459419960709e-05,6.481459419960709e-05
