model,checkpoint,textfrct_RG1
EleutherAI/pythia-6.9b,step0,10.590885416666667
EleutherAI/pythia-6.9b,step11000,11.802604166666667
EleutherAI/pythia-6.9b,step110000,11.75
EleutherAI/pythia-6.9b,step121000,11.711197916666666
EleutherAI/pythia-6.9b,step132000,12.03046875
EleutherAI/pythia-6.9b,step143000,11.369270833333333
EleutherAI/pythia-6.9b,step22000,11.083072916666667
EleutherAI/pythia-6.9b,step33000,11.507291666666667
EleutherAI/pythia-6.9b,step44000,11.61640625
EleutherAI/pythia-6.9b,step55000,11.231770833333334
EleutherAI/pythia-6.9b,step66000,10.740104166666667
EleutherAI/pythia-6.9b,step77000,11.243489583333334
EleutherAI/pythia-6.9b,step88000,10.980729166666666
EleutherAI/pythia-6.9b,step99000,10.973177083333333
