model,checkpoint,task,success,error,cached,predictions_file,num_predictions,accuracy,correct,total,accuracy_CV3,correct_CV3,total_CV3,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,textfrct_CV3,True,,True,results/pythia_6.9b/pythia-6.9b_step0/EleutherAI_pythia-6.9b_step0_textfrct_CV3_Incomplete_Words_detailed.jsonl,36.0,0.0,0,36,,,,,,,
EleutherAI/pythia-6.9b,step11000,textfrct_CV3,True,,True,results/pythia_6.9b/pythia-6.9b_step11000/EleutherAI_pythia-6.9b_step11000_textfrct_CV3_Incomplete_Words_detailed.jsonl,36.0,0.0,0,36,,,,,,,
EleutherAI/pythia-6.9b,step22000,textfrct_CV3,True,,True,results/pythia_6.9b/pythia-6.9b_step22000/EleutherAI_pythia-6.9b_step22000_textfrct_CV3_Incomplete_Words_detailed.jsonl,36.0,0.0,0,36,,,,,,,
EleutherAI/pythia-6.9b,step33000,textfrct_CV3,True,,False,,,0.0,0,36,0.0,0.0,36.0,11.2236328125,37014238.5118423,2.1836042166742e-08,0.0007519060390925459
EleutherAI/pythia-6.9b,step44000,textfrct_CV3,True,,False,,,0.0,0,36,0.0,0.0,36.0,11.108561197916666,22983829.11058067,3.7342211076275796e-08,0.00087426790844764
EleutherAI/pythia-6.9b,step55000,textfrct_CV3,True,,False,,,0.0,0,36,0.0,0.0,36.0,10.400444878472221,10493261.922256008,1.3194254020473359e-07,0.001209994651463607
EleutherAI/pythia-6.9b,step66000,textfrct_CV3,True,,False,,,0.0,0,36,0.0,0.0,36.0,10.169596354166666,5841857.643285306,2.0168721747732614e-07,0.0013906441556723057
EleutherAI/pythia-6.9b,step77000,textfrct_CV3,True,,False,,,0.0,0,36,0.0,0.0,36.0,10.230088975694445,5251215.1617709,3.764250842241702e-07,0.001192502406224031
EleutherAI/pythia-6.9b,step88000,textfrct_CV3,True,,False,,,0.0,0,36,0.0,0.0,36.0,9.984375,2084146.9533251321,3.967800235809956e-07,0.0014951978449701502
EleutherAI/pythia-6.9b,step99000,textfrct_CV3,True,,False,,,0.0,0,36,0.0,0.0,36.0,10.118706597222221,3076337.2091673445,3.255022656376596e-07,0.0013360476623791862
EleutherAI/pythia-6.9b,step110000,textfrct_CV3,True,,False,,,0.0,0,36,0.0,0.0,36.0,10.357042100694445,3783580.7823204123,2.181956027253935e-07,0.0012418794973149423
EleutherAI/pythia-6.9b,step121000,textfrct_CV3,True,,False,,,0.0,0,36,0.0,0.0,36.0,10.078776041666666,2961053.7503334624,3.505620454834304e-07,0.0013128514535217435
EleutherAI/pythia-6.9b,step132000,textfrct_CV3,True,,False,,,0.0,0,36,0.0,0.0,36.0,10.02099609375,2171589.01306965,5.330410098432988e-07,0.0016570435637605623
EleutherAI/pythia-6.9b,step143000,textfrct_CV3,True,,False,,,0.0,0,36,0.0,0.0,36.0,10.1025390625,2872309.981888178,3.5035031207529125e-07,0.0014576443826306116
