model,checkpoint,compositional_translate_sp_eng_last
EleutherAI/pythia-6.9b,step0,11.671260533707866
EleutherAI/pythia-6.9b,step11000,11.197177844101123
EleutherAI/pythia-6.9b,step110000,12.411165730337078
EleutherAI/pythia-6.9b,step121000,12.292178721910112
EleutherAI/pythia-6.9b,step132000,12.13061797752809
EleutherAI/pythia-6.9b,step143000,11.798433110955056
EleutherAI/pythia-6.9b,step22000,10.32713746488764
EleutherAI/pythia-6.9b,step33000,9.274973665730338
EleutherAI/pythia-6.9b,step44000,10.165576720505618
EleutherAI/pythia-6.9b,step55000,11.267424508426966
EleutherAI/pythia-6.9b,step66000,11.406579178370787
EleutherAI/pythia-6.9b,step77000,11.73705231741573
EleutherAI/pythia-6.9b,step88000,10.900763693820224
EleutherAI/pythia-6.9b,step99000,11.383361130617978
