model,checkpoint,simple_icl_translate_fr_eng
EleutherAI/pythia-6.9b,step0,11.643348214285714
EleutherAI/pythia-6.9b,step11000,10.529966517857142
EleutherAI/pythia-6.9b,step110000,7.647566964285715
EleutherAI/pythia-6.9b,step121000,7.504821428571429
EleutherAI/pythia-6.9b,step132000,7.612689732142857
EleutherAI/pythia-6.9b,step143000,7.490379464285715
EleutherAI/pythia-6.9b,step22000,8.093236607142858
EleutherAI/pythia-6.9b,step33000,7.7361160714285715
EleutherAI/pythia-6.9b,step44000,7.323046875
EleutherAI/pythia-6.9b,step55000,7.461618303571429
EleutherAI/pythia-6.9b,step66000,7.589955357142857
EleutherAI/pythia-6.9b,step77000,7.830223214285715
EleutherAI/pythia-6.9b,step88000,7.3630691964285715
EleutherAI/pythia-6.9b,step99000,7.4666741071428575
