model,checkpoint,compositional_gerund_reverse_first
EleutherAI/pythia-6.9b,step0,14.145452949438202
EleutherAI/pythia-6.9b,step11000,8.449877106741573
EleutherAI/pythia-6.9b,step110000,10.428809691011235
EleutherAI/pythia-6.9b,step121000,9.973490168539326
EleutherAI/pythia-6.9b,step132000,9.92578125
EleutherAI/pythia-6.9b,step143000,9.711376404494382
EleutherAI/pythia-6.9b,step22000,8.493240870786517
EleutherAI/pythia-6.9b,step33000,6.938509480337078
EleutherAI/pythia-6.9b,step44000,8.253950140449438
EleutherAI/pythia-6.9b,step55000,8.257373595505618
EleutherAI/pythia-6.9b,step66000,9.167705407303371
EleutherAI/pythia-6.9b,step77000,9.767731741573034
EleutherAI/pythia-6.9b,step88000,9.755179073033707
EleutherAI/pythia-6.9b,step99000,9.590699613764045
