model,checkpoint,compositional_plural_first
EleutherAI/pythia-6.9b,step0,0.006060606060606061
EleutherAI/pythia-6.9b,step11000,0.8121212121212121
EleutherAI/pythia-6.9b,step110000,0.9272727272727272
EleutherAI/pythia-6.9b,step121000,0.9090909090909091
EleutherAI/pythia-6.9b,step132000,0.9151515151515152
EleutherAI/pythia-6.9b,step143000,0.896969696969697
EleutherAI/pythia-6.9b,step22000,0.8848484848484849
EleutherAI/pythia-6.9b,step33000,0.9636363636363636
EleutherAI/pythia-6.9b,step44000,0.9393939393939394
EleutherAI/pythia-6.9b,step55000,0.9757575757575757
EleutherAI/pythia-6.9b,step66000,0.9818181818181818
EleutherAI/pythia-6.9b,step77000,0.9212121212121213
EleutherAI/pythia-6.9b,step88000,0.9454545454545454
EleutherAI/pythia-6.9b,step99000,0.9333333333333333
