model,checkpoint,compositional_gerund_lower
EleutherAI/pythia-6.9b,step0,11.641810042134832
EleutherAI/pythia-6.9b,step11000,5.272395101825842
EleutherAI/pythia-6.9b,step110000,4.587940001755618
EleutherAI/pythia-6.9b,step121000,4.624423937851123
EleutherAI/pythia-6.9b,step132000,4.542529845505618
EleutherAI/pythia-6.9b,step143000,4.501481302668539
EleutherAI/pythia-6.9b,step22000,5.161911867977528
EleutherAI/pythia-6.9b,step33000,5.004663360252809
EleutherAI/pythia-6.9b,step44000,4.550852571980337
EleutherAI/pythia-6.9b,step55000,4.981280723314606
EleutherAI/pythia-6.9b,step66000,4.675830626755618
EleutherAI/pythia-6.9b,step77000,4.880442415730337
EleutherAI/pythia-6.9b,step88000,4.549294461025281
EleutherAI/pythia-6.9b,step99000,4.512837956460674
