model,checkpoint,compositional_translate_eng_fr_reverse
EleutherAI/pythia-6.9b,step0,11.61921965317919
EleutherAI/pythia-6.9b,step11000,10.541591401734104
EleutherAI/pythia-6.9b,step110000,9.599078757225433
EleutherAI/pythia-6.9b,step121000,9.751174132947977
EleutherAI/pythia-6.9b,step132000,9.62201950867052
EleutherAI/pythia-6.9b,step143000,9.441880419075144
EleutherAI/pythia-6.9b,step22000,10.178603684971097
EleutherAI/pythia-6.9b,step33000,9.980130057803468
EleutherAI/pythia-6.9b,step44000,9.800307080924856
EleutherAI/pythia-6.9b,step55000,9.53554010115607
EleutherAI/pythia-6.9b,step66000,9.400097091763005
EleutherAI/pythia-6.9b,step77000,9.840295339595375
EleutherAI/pythia-6.9b,step88000,9.63059971098266
EleutherAI/pythia-6.9b,step99000,9.83891799132948
