model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_last,correct_translate_eng_fr_last,total_translate_eng_fr_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_translate_eng_fr_last,True,,False,0.0,0,173,0.0,0,173,11.551436054913294,176994.07552105392,1.4176232007765873e-05,1.4176232007765873e-05
EleutherAI/pythia-6.9b,step11000,compositional_translate_eng_fr_last,True,,False,0.24277456647398843,42,173,0.24277456647398843,42,173,10.62147760115607,235894.3901501288,8.657664649379382e-05,8.657664649379382e-05
EleutherAI/pythia-6.9b,step22000,compositional_translate_eng_fr_last,True,,False,0.23699421965317918,41,173,0.23699421965317918,41,173,10.269689306358382,222273.15123451006,0.00010152344760554866,0.00010152344760554866
EleutherAI/pythia-6.9b,step33000,compositional_translate_eng_fr_last,True,,False,0.1329479768786127,23,173,0.1329479768786127,23,173,9.885318822254336,187742.77573854214,0.0001296060531570092,0.0001296060531570092
EleutherAI/pythia-6.9b,step44000,compositional_translate_eng_fr_last,True,,False,0.17341040462427745,30,173,0.17341040462427745,30,173,9.980875180635838,118802.18126165812,0.00012145482787884647,0.00012145482787884647
EleutherAI/pythia-6.9b,step55000,compositional_translate_eng_fr_last,True,,False,0.18497109826589594,32,173,0.18497109826589594,32,173,10.972633670520231,276550.25769767474,3.617185121887554e-05,3.617185121887554e-05
EleutherAI/pythia-6.9b,step66000,compositional_translate_eng_fr_last,True,,False,0.15028901734104047,26,173,0.15028901734104047,26,173,10.972611091040463,276812.0979432537,4.29004948747338e-05,4.29004948747338e-05
EleutherAI/pythia-6.9b,step77000,compositional_translate_eng_fr_last,True,,False,0.1791907514450867,31,173,0.1791907514450867,31,173,11.994129335260116,910991.5610883682,1.6410201710279834e-05,1.6410201710279834e-05
EleutherAI/pythia-6.9b,step88000,compositional_translate_eng_fr_last,True,,False,0.15028901734104047,26,173,0.15028901734104047,26,173,11.202673410404625,448002.89620313194,2.9659969992023428e-05,2.9659969992023428e-05
EleutherAI/pythia-6.9b,step99000,compositional_translate_eng_fr_last,True,,False,0.15028901734104047,26,173,0.15028901734104047,26,173,11.617119761560694,510778.07184796664,2.75041213046086e-05,2.75041213046086e-05
EleutherAI/pythia-6.9b,step110000,compositional_translate_eng_fr_last,True,,False,0.18497109826589594,32,173,0.18497109826589594,32,173,12.430093930635838,1415461.433689467,1.0223325641264129e-05,1.0223325641264129e-05
EleutherAI/pythia-6.9b,step121000,compositional_translate_eng_fr_last,True,,False,0.15606936416184972,27,173,0.15606936416184972,27,173,12.287798049132949,1867415.6889425216,1.609665466462135e-05,1.609665466462135e-05
EleutherAI/pythia-6.9b,step132000,compositional_translate_eng_fr_last,True,,False,0.11560693641618497,20,173,0.11560693641618497,20,173,12.606168713872833,1436851.618307483,9.642152311022217e-06,9.642152311022217e-06
EleutherAI/pythia-6.9b,step143000,compositional_translate_eng_fr_last,True,,False,0.1329479768786127,23,173,0.1329479768786127,23,173,11.7887012283237,511086.97776323505,2.144106038408777e-05,2.144106038408777e-05
