model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_lower,correct_plural_lower,total_plural_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,compositional_plural_lower,True,,False,0.0,0,163,0.0,0,163,11.774971242331288,241757.07627586962,2.647955318623653e-06,1.2364217061456466e-05
EleutherAI/pythia-6.9b,step11000,compositional_plural_lower,True,,False,0.8220858895705522,134,163,0.8220858895705522,134,163,5.249832246932515,1898.4189258831252,0.00045434777127154855,0.0133057724191665
EleutherAI/pythia-6.9b,step22000,compositional_plural_lower,True,,False,0.9202453987730062,150,163,0.9202453987730062,150,163,5.10772143404908,845.9963801262819,0.0003869871008278862,0.01350678967842798
EleutherAI/pythia-6.9b,step33000,compositional_plural_lower,True,,False,0.9079754601226994,148,163,0.9079754601226994,148,163,4.770531777223926,1057.819612465093,0.0011717408772545712,0.021360542847933848
EleutherAI/pythia-6.9b,step44000,compositional_plural_lower,True,,False,0.901840490797546,147,163,0.901840490797546,147,163,4.510304831288344,900.1163417612393,0.0008996992235808995,0.024043078298216745
EleutherAI/pythia-6.9b,step55000,compositional_plural_lower,True,,False,0.9447852760736196,154,163,0.9447852760736196,154,163,4.902823044478527,1096.2127802567688,0.0007906237744420008,0.01795110357754723
EleutherAI/pythia-6.9b,step66000,compositional_plural_lower,True,,False,0.9693251533742331,158,163,0.9693251533742331,158,163,4.875910659509202,1102.9562299020265,0.0007029172033543511,0.018673057290655295
EleutherAI/pythia-6.9b,step77000,compositional_plural_lower,True,,False,0.9386503067484663,153,163,0.9386503067484663,153,163,4.8890553105828225,1093.1334394644168,0.000733624730654345,0.018657858763834988
EleutherAI/pythia-6.9b,step88000,compositional_plural_lower,True,,False,0.9570552147239264,156,163,0.9570552147239264,156,163,4.633585362346626,690.2837777923849,0.000846270050625291,0.021110311873951428
EleutherAI/pythia-6.9b,step99000,compositional_plural_lower,True,,False,0.9693251533742331,158,163,0.9693251533742331,158,163,4.82898773006135,836.658660352477,0.0006701545283793813,0.018906560468347176
EleutherAI/pythia-6.9b,step110000,compositional_plural_lower,True,,False,0.9631901840490797,157,163,0.9631901840490797,157,163,4.956959355828221,982.2454237438136,0.0005065117988085324,0.016028781001427458
EleutherAI/pythia-6.9b,step121000,compositional_plural_lower,True,,False,0.9570552147239264,156,163,0.9570552147239264,156,163,4.885580425613497,833.911402992053,0.0005338974462487878,0.01642622531751559
EleutherAI/pythia-6.9b,step132000,compositional_plural_lower,True,,False,0.9754601226993865,159,163,0.9754601226993865,159,163,4.874388899539877,772.9748891691389,0.0005592381095104864,0.017160007363752127
EleutherAI/pythia-6.9b,step143000,compositional_plural_lower,True,,False,0.950920245398773,155,163,0.950920245398773,155,163,4.7915428489263805,745.0886847430428,0.000604701447176064,0.018570987416577044
