model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_two_step,accuracy_three_step,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,multistep_arithmetic,True,,False,0.0,0,40,0.0,0.0,11.8130859375,177196.12332387635,9.2682818474852e-06,9.2682818474852e-06
EleutherAI/pythia-6.9b,step11000,multistep_arithmetic,True,,False,0.025,1,40,0.05,0.0,11.880859375,505166.52683462284,1.0364364955198463e-05,1.0364364955198463e-05
EleutherAI/pythia-6.9b,step22000,multistep_arithmetic,True,,False,0.05,2,40,0.1,0.0,10.7322265625,158021.31152381867,3.822902796148559e-05,3.822902796148559e-05
EleutherAI/pythia-6.9b,step33000,multistep_arithmetic,True,,False,0.125,5,40,0.1,0.15,9.9158203125,104699.05518271316,9.971147149988851e-05,9.971147149988851e-05
EleutherAI/pythia-6.9b,step44000,multistep_arithmetic,True,,False,0.15,6,40,0.15,0.15,10.58671875,133039.11338484814,4.782446300124706e-05,4.782446300124706e-05
EleutherAI/pythia-6.9b,step55000,multistep_arithmetic,True,,False,0.05,2,40,0.05,0.05,9.98134765625,104458.81367286728,9.31243302135137e-05,9.31243302135137e-05
EleutherAI/pythia-6.9b,step66000,multistep_arithmetic,True,,False,0.15,6,40,0.2,0.1,11.0599609375,218323.83517920523,3.1315391636042824e-05,3.1315391636042824e-05
EleutherAI/pythia-6.9b,step77000,multistep_arithmetic,True,,False,0.175,7,40,0.15,0.2,11.3197265625,328640.85812745435,2.6101939337913957e-05,2.6101939337913957e-05
EleutherAI/pythia-6.9b,step88000,multistep_arithmetic,True,,False,0.125,5,40,0.1,0.15,10.819921875,202792.180297709,4.210488267802709e-05,4.210488267802709e-05
EleutherAI/pythia-6.9b,step99000,multistep_arithmetic,True,,False,0.1,4,40,0.05,0.15,10.6564453125,96608.38555007697,4.790355646477837e-05,4.790355646477837e-05
EleutherAI/pythia-6.9b,step110000,multistep_arithmetic,True,,False,0.2,8,40,0.2,0.2,11.2666015625,205128.97380694898,2.695281770007861e-05,2.695281770007861e-05
EleutherAI/pythia-6.9b,step121000,multistep_arithmetic,True,,False,0.15,6,40,0.2,0.1,11.3369140625,180827.19308992455,2.2554787244242215e-05,2.2554787244242215e-05
EleutherAI/pythia-6.9b,step132000,multistep_arithmetic,True,,False,0.175,7,40,0.15,0.2,11.3810546875,189635.43880313818,2.3655213567865198e-05,2.3655213567865198e-05
EleutherAI/pythia-6.9b,step143000,multistep_arithmetic,True,,False,0.175,7,40,0.15,0.2,10.905078125,143387.04286368092,4.1875124971493e-05,4.1875124971493e-05
