model,checkpoint,textfrct_V5
EleutherAI/pythia-6.9b,step11000,6.726236979166667
EleutherAI/pythia-6.9b,step110000,5.086805555555555
EleutherAI/pythia-6.9b,step121000,4.793294270833333
EleutherAI/pythia-6.9b,step132000,4.938802083333333
EleutherAI/pythia-6.9b,step143000,4.648274739583333
EleutherAI/pythia-6.9b,step22000,5.303168402777778
EleutherAI/pythia-6.9b,step33000,6.219509548611111
EleutherAI/pythia-6.9b,step44000,6.005750868055555
EleutherAI/pythia-6.9b,step55000,5.040256076388889
EleutherAI/pythia-6.9b,step66000,5.333658854166667
EleutherAI/pythia-6.9b,step77000,5.541341145833333
EleutherAI/pythia-6.9b,step88000,4.905164930555555
EleutherAI/pythia-6.9b,step99000,4.912977430555555
