model,checkpoint,compositional_lower_first
EleutherAI/pythia-6.9b,step0,0.0
EleutherAI/pythia-6.9b,step11000,1.0
EleutherAI/pythia-6.9b,step110000,1.0
EleutherAI/pythia-6.9b,step121000,1.0
EleutherAI/pythia-6.9b,step132000,1.0
EleutherAI/pythia-6.9b,step143000,1.0
EleutherAI/pythia-6.9b,step22000,1.0
EleutherAI/pythia-6.9b,step33000,1.0
EleutherAI/pythia-6.9b,step44000,1.0
EleutherAI/pythia-6.9b,step55000,1.0
EleutherAI/pythia-6.9b,step66000,1.0
EleutherAI/pythia-6.9b,step77000,1.0
EleutherAI/pythia-6.9b,step88000,1.0
EleutherAI/pythia-6.9b,step99000,1.0
