model,checkpoint,compositional_first_upper
EleutherAI/pythia-6.9b,step0,11.853125
EleutherAI/pythia-6.9b,step11000,10.590604440789473
EleutherAI/pythia-6.9b,step110000,9.764083059210526
EleutherAI/pythia-6.9b,step121000,9.563692434210527
EleutherAI/pythia-6.9b,step132000,9.563260690789473
EleutherAI/pythia-6.9b,step143000,9.229769736842105
EleutherAI/pythia-6.9b,step22000,8.776603618421053
EleutherAI/pythia-6.9b,step33000,7.485690789473685
EleutherAI/pythia-6.9b,step44000,9.118893914473684
EleutherAI/pythia-6.9b,step55000,8.873930921052631
EleutherAI/pythia-6.9b,step66000,9.30318667763158
EleutherAI/pythia-6.9b,step77000,8.850041118421053
EleutherAI/pythia-6.9b,step88000,8.543215460526316
EleutherAI/pythia-6.9b,step99000,9.01149259868421
