model,checkpoint,fact_extraction
EleutherAI/pythia-6.9b,step0,11.636328125
EleutherAI/pythia-6.9b,step11000,5.660091145833333
EleutherAI/pythia-6.9b,step110000,5.044954427083334
EleutherAI/pythia-6.9b,step121000,4.974739583333333
EleutherAI/pythia-6.9b,step132000,5.154768880208334
EleutherAI/pythia-6.9b,step143000,4.958024088541666
EleutherAI/pythia-6.9b,step22000,5.195670572916667
EleutherAI/pythia-6.9b,step33000,5.065266927083333
EleutherAI/pythia-6.9b,step44000,5.019645182291667
EleutherAI/pythia-6.9b,step55000,5.166682942708333
EleutherAI/pythia-6.9b,step66000,4.963460286458333
EleutherAI/pythia-6.9b,step77000,4.742333984375
EleutherAI/pythia-6.9b,step88000,4.916796875
EleutherAI/pythia-6.9b,step99000,5.192431640625
