model,checkpoint,simple_icl_lowercase
EleutherAI/pythia-6.9b,step11000,8.486929086538462
EleutherAI/pythia-6.9b,step110000,8.193960336538462
EleutherAI/pythia-6.9b,step121000,8.264873798076923
EleutherAI/pythia-6.9b,step132000,8.193209134615385
EleutherAI/pythia-6.9b,step143000,7.695012019230769
EleutherAI/pythia-6.9b,step22000,7.889272836538462
EleutherAI/pythia-6.9b,step33000,7.126652644230769
EleutherAI/pythia-6.9b,step44000,7.33203125
EleutherAI/pythia-6.9b,step55000,7.274038461538462
EleutherAI/pythia-6.9b,step66000,8.702373798076923
EleutherAI/pythia-6.9b,step77000,8.378756009615385
EleutherAI/pythia-6.9b,step88000,7.397686298076923
EleutherAI/pythia-6.9b,step99000,7.6454326923076925
