model,checkpoint,compositional_plural_last
EleutherAI/pythia-6.9b,step0,12.198248106060607
EleutherAI/pythia-6.9b,step11000,7.879024621212121
EleutherAI/pythia-6.9b,step110000,9.424928977272728
EleutherAI/pythia-6.9b,step121000,9.344389204545454
EleutherAI/pythia-6.9b,step132000,9.369460227272727
EleutherAI/pythia-6.9b,step143000,8.824408143939394
EleutherAI/pythia-6.9b,step22000,7.669602272727273
EleutherAI/pythia-6.9b,step33000,8.322419507575757
EleutherAI/pythia-6.9b,step44000,7.536339962121212
EleutherAI/pythia-6.9b,step55000,8.506581439393939
EleutherAI/pythia-6.9b,step66000,8.813967803030303
EleutherAI/pythia-6.9b,step77000,8.743868371212121
EleutherAI/pythia-6.9b,step88000,8.52360321969697
EleutherAI/pythia-6.9b,step99000,8.986316287878788
