model,checkpoint,compositional_translate_eng_fr_upper
EleutherAI/pythia-6.9b,step0,11.704547507225433
EleutherAI/pythia-6.9b,step11000,7.10202537933526
EleutherAI/pythia-6.9b,step110000,4.551977962427745
EleutherAI/pythia-6.9b,step121000,4.460779443641618
EleutherAI/pythia-6.9b,step132000,4.379436867774566
EleutherAI/pythia-6.9b,step143000,4.370292178468208
EleutherAI/pythia-6.9b,step22000,5.584255328757226
EleutherAI/pythia-6.9b,step33000,5.259110820086705
EleutherAI/pythia-6.9b,step44000,5.258218930635838
EleutherAI/pythia-6.9b,step55000,5.068788385115607
EleutherAI/pythia-6.9b,step66000,4.771602917268786
EleutherAI/pythia-6.9b,step77000,4.576092846820809
EleutherAI/pythia-6.9b,step88000,4.521512599349711
EleutherAI/pythia-6.9b,step99000,4.505210214956647
