model,checkpoint,compositional_gerund_upper_reverse
EleutherAI/pythia-6.9b,step0,11.688904494382022
EleutherAI/pythia-6.9b,step11000,5.717093135533708
EleutherAI/pythia-6.9b,step110000,4.98852264747191
EleutherAI/pythia-6.9b,step121000,5.121313202247191
EleutherAI/pythia-6.9b,step132000,5.091193381320225
EleutherAI/pythia-6.9b,step143000,4.963954968398877
EleutherAI/pythia-6.9b,step22000,5.420371752106742
EleutherAI/pythia-6.9b,step33000,5.207579880617978
EleutherAI/pythia-6.9b,step44000,5.258832952949438
EleutherAI/pythia-6.9b,step55000,5.261444434691011
EleutherAI/pythia-6.9b,step66000,4.926582250702247
EleutherAI/pythia-6.9b,step77000,5.036352264747191
EleutherAI/pythia-6.9b,step88000,5.20287262991573
EleutherAI/pythia-6.9b,step99000,5.13304292485955
