model,checkpoint,logical_ops
EleutherAI/pythia-6.9b,step0,11.263932291666666
EleutherAI/pythia-6.9b,step11000,4.991064453125
EleutherAI/pythia-6.9b,step110000,5.365413411458333
EleutherAI/pythia-6.9b,step121000,5.3056640625
EleutherAI/pythia-6.9b,step132000,5.295003255208333
EleutherAI/pythia-6.9b,step143000,5.253531901041667
EleutherAI/pythia-6.9b,step22000,4.923177083333333
EleutherAI/pythia-6.9b,step33000,4.755257161458333
EleutherAI/pythia-6.9b,step44000,4.601806640625
EleutherAI/pythia-6.9b,step55000,4.718961588541666
EleutherAI/pythia-6.9b,step66000,5.041097005208333
EleutherAI/pythia-6.9b,step77000,5.257649739583333
EleutherAI/pythia-6.9b,step88000,5.18857421875
EleutherAI/pythia-6.9b,step99000,5.080550130208334
