model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_extract_entity,accuracy_extract_number,accuracy_extract_location,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
EleutherAI/pythia-6.9b,step0,fact_extraction,True,,False,0.0,0,60,0.0,0.0,0.0,11.636328125,177851.56222068498,1.1509136683093001e-05,1.721984470829421e-05
EleutherAI/pythia-6.9b,step11000,fact_extraction,True,,False,0.85,51,60,0.85,0.95,0.75,5.660091145833333,12325.465889306712,0.00015309601411619855,0.020863063960680883
EleutherAI/pythia-6.9b,step22000,fact_extraction,True,,False,0.7666666666666667,46,60,0.85,1.0,0.45,5.195670572916667,1882.5900520698535,0.0003100809967272261,0.02778098370409484
EleutherAI/pythia-6.9b,step33000,fact_extraction,True,,False,0.8,48,60,0.9,1.0,0.5,5.065266927083333,1272.347298252661,0.00041668478763052554,0.026230075162659867
EleutherAI/pythia-6.9b,step44000,fact_extraction,True,,False,0.7833333333333333,47,60,0.85,1.0,0.5,5.019645182291667,1375.6513629437552,0.000415854766114745,0.03370597911064282
EleutherAI/pythia-6.9b,step55000,fact_extraction,True,,False,0.7666666666666667,46,60,0.85,1.0,0.45,5.166682942708333,1505.2147802173708,0.0003344935854070976,0.026309327349027613
EleutherAI/pythia-6.9b,step66000,fact_extraction,True,,False,0.8,48,60,0.9,1.0,0.5,4.963460286458333,937.7904916602988,0.0004211640003245339,0.030056503354468387
EleutherAI/pythia-6.9b,step77000,fact_extraction,True,,False,0.7666666666666667,46,60,0.95,1.0,0.35,4.742333984375,643.2766611519198,0.0005902041607977586,0.03236993396868389
EleutherAI/pythia-6.9b,step88000,fact_extraction,True,,False,0.7333333333333333,44,60,0.9,1.0,0.3,4.916796875,758.3362412661851,0.0004642448021959849,0.029171793750999733
EleutherAI/pythia-6.9b,step99000,fact_extraction,True,,False,0.7833333333333333,47,60,0.95,1.0,0.4,5.192431640625,1251.6343650230544,0.0003087852202277207,0.02613713834363043
EleutherAI/pythia-6.9b,step110000,fact_extraction,True,,False,0.8,48,60,0.95,1.0,0.45,5.044954427083334,1273.2155483614795,0.00037882096879115215,0.03096590986441515
EleutherAI/pythia-6.9b,step121000,fact_extraction,True,,False,0.7666666666666667,46,60,0.95,1.0,0.35,4.974739583333333,1022.0667872466181,0.00040495284482943285,0.031658274128701626
EleutherAI/pythia-6.9b,step132000,fact_extraction,True,,False,0.7333333333333333,44,60,0.9,1.0,0.3,5.154768880208334,1379.708839838654,0.0003028671655970135,0.029526999810767306
EleutherAI/pythia-6.9b,step143000,fact_extraction,True,,False,0.75,45,60,0.85,1.0,0.4,4.958024088541666,1097.5179173951208,0.0004148480358377675,0.03250332719311819
