model,checkpoint,compositional_lower_first
EleutherAI/pythia-6.9b,step0,11.838641826923077
EleutherAI/pythia-6.9b,step11000,8.708533653846153
EleutherAI/pythia-6.9b,step110000,9.911057692307692
EleutherAI/pythia-6.9b,step121000,9.959134615384615
EleutherAI/pythia-6.9b,step132000,9.515024038461538
EleutherAI/pythia-6.9b,step143000,9.013221153846153
EleutherAI/pythia-6.9b,step22000,8.01141826923077
EleutherAI/pythia-6.9b,step33000,7.469501201923077
EleutherAI/pythia-6.9b,step44000,7.572265625
EleutherAI/pythia-6.9b,step55000,7.897235576923077
EleutherAI/pythia-6.9b,step66000,9.622445913461538
EleutherAI/pythia-6.9b,step77000,9.372145432692308
EleutherAI/pythia-6.9b,step88000,8.319561298076923
EleutherAI/pythia-6.9b,step99000,8.765024038461538
