model,checkpoint,compositional_plural_first
EleutherAI/pythia-6.9b,step0,11.907670454545455
EleutherAI/pythia-6.9b,step11000,8.6046875
EleutherAI/pythia-6.9b,step110000,9.415719696969697
EleutherAI/pythia-6.9b,step121000,9.354616477272728
EleutherAI/pythia-6.9b,step132000,9.165861742424243
EleutherAI/pythia-6.9b,step143000,8.77483428030303
EleutherAI/pythia-6.9b,step22000,7.517234848484849
EleutherAI/pythia-6.9b,step33000,7.155942234848485
EleutherAI/pythia-6.9b,step44000,7.615056818181818
EleutherAI/pythia-6.9b,step55000,8.070643939393939
EleutherAI/pythia-6.9b,step66000,8.438068181818181
EleutherAI/pythia-6.9b,step77000,8.519010416666667
EleutherAI/pythia-6.9b,step88000,7.91451231060606
EleutherAI/pythia-6.9b,step99000,8.299763257575757
